id,name,artists,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
1QOXDIPlec7v7dYrJtCGDc,Big Pond Oystercatcher,['Oliver Schroer / Nuala Kennedy'],-0.27990834959222083,-0.4465717244820334,0.002141520245548002,0.7464991884508485,-0.3305351099772328,1.0996720894765644,-0.7513038827023067,-0.30831320271898016,2.0178275049433485,-0.2023861878344884,2012
5MqPHMhLXyZDDPHMGEF6MQ,Routine (feat. Rick Ross & Meek Mill),"['Wale', 'Meek Mill', 'Rick Ross']",3.572597964500992,1.2991543300528527,0.6788689917588104,0.649333821289525,2.799697072227724,-0.9445143919800195,-0.7641949794092506,1.6362607656702317,0.8486409293255702,0.9250074592430628,2019
2LNs4vSyvmxAqCJ5lZaovW,Too Good To Be Blue,['Dana Gillespie'],-0.27990834959222083,1.4463842382666383,0.58751078310452,-0.22686664822250105,0.1472461193544309,-0.6068377803991498,-0.7641506002238662,0.8887800205957658,1.5204592473789602,-0.5682654932739928,2015
2e3JR95joNaxXBAJk6sU0Z,Something,['Chantal Ambroise'],-0.27990834959222083,0.620845110067912,0.350656168074878,0.1575144077725158,-0.31098178564515405,-0.0293693418827853,-0.7637696788826486,-0.5617822373269381,0.963703735180018,-0.6658913995061972,2009
2YRtGvZndvEjC1rUW4Kg3i,It's Now,['Super XX Man'],-0.27990834959222083,-0.7199986968790637,-0.7794787093522698,0.385945762875716,-0.42830173163762664,-1.1289676515115021,-0.7584890841455214,-0.7067822615594285,-1.1742374316639193,-0.2594771723385446,2008
4QZKM4FxBjk7pemHadPrvM,Hook's Poison,"['Linda Eder (wendy)', 'Daniel Narducci (captain Hook)', 'Alaxander Frey']",-0.27990834959222083,-1.918870806619889,-1.6209893201790113,-4.174833915996113,-0.4308521652461586,1.2628133972188555,1.2249435083630396,-0.5274992858611167,-0.8810128619058097,-1.5280007658469819,2005
3nhtJBJxuM2Kj0IpImcEDL,"Piano Concerto No. 25 in C Major, K. 503: Piano Concerto No. 25 in C Major, K. 503: II. Andante","['Wolfgang Amadeus Mozart', 'Francesco Piemontesi', 'Andrew Manze', 'Scottish Chamber Orchestra']",-0.27990834959222083,-1.6086363571694122,-1.5563618466494948,-2.154336464642947,-0.39089537204582375,1.4078278929897812,1.6185446168332538,-0.5690884400983427,-1.3130551393721888,-1.061945985053838,2017
5BvYR8mIvxG22Im8uLrwin,The Last Island,['Peter Mayer'],-0.27990834959222083,1.0467602016863635,0.350656168074878,0.1853370899993266,-0.41214898545025724,-0.15625702568234517,-0.7622190490123666,-0.1340883674008716,1.3237389664020007,-0.39034429622997857,2003
2zfwqlO7iM7kNqxG1E7hE7,Still,['Jennifer Lopez'],-0.27990834959222083,1.2833796970299471,0.5502907721712905,0.9335532212680225,-0.42915187617380396,-1.0177985032356835,-0.7616933669950139,0.062617091829251,-0.1126902550712701,-0.7087822521946597,2002
0ID1HGlyKDmbEK9uS4LYQ9,Work It Now!,['Big Sugar'],-0.27990834959222083,-1.1459137884975146,0.8886545079279216,0.10286780627062575,0.025675450681071684,-0.5809423347257703,-0.764172842648922,3.7944006612235768,0.5257227322501836,1.590832276260123,2012
6rwBFh4K4QNrKj9rcE1SiJ,SOS,['MAX'],-0.27990834959222083,0.894272082464942,0.42847982729890316,0.8987391983790902,-0.25317195718509505,-0.9517651167685658,-0.7597570608707945,-0.30831320271898016,-0.4244733419026773,0.8452608098877646,2020
2cs5kSDNk2ZCXlUwvx6vDG,See The Light,['Catherine Reed'],-0.27990834959222083,-0.4465717244820334,-1.0907733462483709,-0.4266192385688347,-0.29057831677689794,1.1928956939007307,-0.7641921264616188,-0.5331194418391202,-0.6211936228796368,-0.8320974878023465,2004
0jlnoifXN1Ta3bDjHYUyVa,Secret of the Stars,['Vixen'],-0.27990834959222083,-1.4140825498869105,1.2168673316118537,0.8490864116358589,-0.1401027338735092,-0.7466731870353994,-0.6788707122710768,-0.14532867935687863,-0.4912840033665504,0.032012806203362526,2011
0bRoK8imHUTKniH0OmZMRF,New Money Rag,['Sheesham and Lotus'],-0.27990834959222083,1.8407500638392782,0.6619508049709788,0.38651648456242,1.4139614782586638,0.5610468194702688,1.3966486899104482,-0.6342822494431833,2.0178275049433485,0.12873506768366544,2011
0OGQf5r0TeE6ERhrhrqi4p,Village of Whispers,"['Mick Gordon', 'Erika Mariko Olsen']",-0.27990834959222083,0.17915538542655554,1.514627419077689,0.9309849736778557,-0.24382036728714435,-1.150556425614942,1.417781635331668,0.6808342494096363,-0.35023927360948537,0.27018774438308774,2015
2UxVdsbVnOD1cL0rZTuJu7,I Can't Ever Get Enough of You,['Darren Hayes'],-0.27990834959222083,0.7785914402969676,0.4826180250199642,0.86349713422513,-0.5048147398935869,0.1933314909082791,-0.7641949794092506,-0.5556000657511349,0.5145876220062051,-0.7652277761616436,2002
4hMRZxs7K1GjoCbF2yhvU1,Bolivian Taxi Ride,['Various Artists'],-0.27990834959222083,0.7733332292893329,0.8514344969946921,-0.18235035665960364,-0.2922786058492526,0.5636363640376071,1.631752707721516,-0.5274992858611167,-0.9700937438576404,-0.4084817373217141,2008
6qeL4DZ7XCvLJedrIXms2w,And You Are There,['Damon & Naomi'],-0.27990834959222083,-0.9618764032302828,-0.9249751157276213,-0.02896890335795452,-0.47335939205502553,0.2399432931203624,0.6226545638582824,-0.7281388542758418,-0.6917159877581696,0.49816440607706813,2011
